Name,X1,X2,P1,P2,Line,Label
STRT 1 of BRANCH /P-ME003-001/B3,-106,-107,-98.4558,-92.6396,14,36
BEND 4 of BRANCH /P-ME003-001/B5,-105,-106,-98.4558,-98.4558,14,36
STRT 6 of BRANCH /P-ME003-001/B5,-104,-105,-105.5876,-98.4558,14,36
TAPER 1 of BRANCH /P-ME003-001/B5,-55,-104,-140.5469,-105.5876,14,36
FLEXIBLE 1 of BRANCH /P-ME003-011/B1,-102,-103,-2.4017,0,1017,37
STRT 13 of BRANCH /P-ME003-011/B1,-101,-102,-2.5367,-2.4017,17,37
BEND 12 of BRANCH /P-ME003-011/B1,-100,-101,-2.5367,-2.5367,17,37
STRT 12 of BRANCH /P-ME003-011/B1,-99,-100,-2.6718,-2.5367,17,37
BEND 11 of BRANCH /P-ME003-011/B1,-98,-99,-2.6718,-2.6718,17,37
BEND 10 of BRANCH /P-ME003-011/B1,-97,-98,-2.6718,-2.6718,17,37
STRT 11 of BRANCH /P-ME003-011/B1,-96,-97,-4.8015,-2.6718,17,37
BEND 9 of BRANCH /P-ME003-011/B1,-95,-96,-4.8015,-4.8015,17,37
STRT 10 of BRANCH /P-ME003-011/B1,-90,-95,-6.9322,-4.8015,17,37
FLEXIBLE 1 of BRANCH /P-ME003-011/B2,-93,-94,-2.4017,0,1018,38
STRT 2 of BRANCH /P-ME003-011/B2,-92,-93,-2.5367,-2.4017,18,38
BEND 1 of BRANCH /P-ME003-011/B2,-91,-92,-2.5367,-2.5367,18,38
STRT 1 of BRANCH /P-ME003-011/B2,-90,-91,-2.6726,-2.5367,18,38
TEE 2 of BRANCH /P-ME003-011/B1,-90,-90,-2.6726,-6.9322,-8888,39
TEE 2 of BRANCH /P-ME003-011/B1,-89,-90,-7.3134,-6.9322,17,40
BEND 8 of BRANCH /P-ME003-011/B1,-88,-89,-7.3134,-7.3134,17,40
STRT 9 of BRANCH /P-ME003-011/B1,-87,-88,-15.9764,-7.3134,17,40
BEND 7 of BRANCH /P-ME003-011/B1,-86,-87,-15.9764,-15.9764,17,40
STRT 8 of BRANCH /P-ME003-011/B1,-85,-86,-33.1977,-15.9764,17,40
DAMPER 1 of BRANCH /P-ME003-011/B1,-84,-85,-43.7575,-33.1977,17,40
STRT 7 of BRANCH /P-ME003-011/B1,-83,-84,-45.978,-43.7575,17,40
BEND 6 of BRANCH /P-ME003-011/B1,-82,-83,-45.978,-45.978,17,40
STRT 6 of BRANCH /P-ME003-011/B1,-81,-82,-46.3831,-45.978,17,40
BEND 5 of BRANCH /P-ME003-011/B1,-80,-81,-46.3831,-46.3831,17,40
STRT 5 of BRANCH /P-ME003-011/B1,-79,-80,-46.8596,-46.3831,17,40
BEND 4 of BRANCH /P-ME003-011/B1,-78,-79,-46.8596,-46.8596,17,40
BEND 3 of BRANCH /P-ME003-011/B1,-77,-78,-46.8596,-46.8596,17,40
STRT 4 of BRANCH /P-ME003-011/B1,-76,-77,-56.6901,-46.8596,17,40
BEND 2 of BRANCH /P-ME003-011/B1,-75,-76,-56.6901,-56.6901,17,40
STRT 3 of BRANCH /P-ME003-011/B1,-74,-75,-57.8432,-56.6901,17,40
BEND 1 of BRANCH /P-ME003-011/B1,-73,-74,-57.8432,-57.8432,17,40
STRT 2 of BRANCH /P-ME003-011/B1,-68,-73,-58.321,-57.8432,17,40
FLEXIBLE 1 of BRANCH /P-ME003-011/B6,-71,-72,-2.4017,0,1029,41
STRT 2 of BRANCH /P-ME003-011/B6,-70,-71,-3.7549,-2.4017,29,41
BEND 1 of BRANCH /P-ME003-011/B6,-69,-70,-3.7549,-3.7549,29,41
STRT 1 of BRANCH /P-ME003-011/B6,-68,-69,-3.921,-3.7549,29,41
TEE 1 of BRANCH /P-ME003-011/B1,-68,-68,-3.921,-58.321,-8888,42
TEE 1 of BRANCH /P-ME003-011/B1,-67,-68,-59.1288,-58.321,17,43
STRT 1 of BRANCH /P-ME003-011/B1,-66,-67,-62.0773,-59.1288,17,43
STRT 4 of BRANCH /P-ME003-001/B6,-61,-66,-65.532,-62.0773,17,43
FLEXIBLE 1 of BRANCH /P-ME003-001/B7,-64,-65,-2.4017,0,1030,44
STRT 2 of BRANCH /P-ME003-001/B7,-63,-64,-3.7549,-2.4017,30,44
BEND 1 of BRANCH /P-ME003-001/B7,-62,-63,-3.7549,-3.7549,30,44
STRT 1 of BRANCH /P-ME003-001/B7,-61,-62,-3.9186,-3.7549,30,44
TEE 1 of BRANCH /P-ME003-001/B6,-61,-61,-3.9186,-65.532,-8888,45
TEE 1 of BRANCH /P-ME003-001/B6,-60,-61,-66.9168,-65.532,17,46
STRT 3 of BRANCH /P-ME003-001/B6,-59,-60,-101.3641,-66.9168,17,46
BEND 2 of BRANCH /P-ME003-001/B6,-58,-59,-101.3641,-101.3641,17,46
STRT 2 of BRANCH /P-ME003-001/B6,-57,-58,-116.3028,-101.3641,17,46
BEND 1 of BRANCH /P-ME003-001/B6,-56,-57,-116.3028,-116.3028,17,46
STRT 1 of BRANCH /P-ME003-001/B6,-55,-56,-137.084,-116.3028,17,46
TEE 1 of BRANCH /P-ME003-001/B5,-55,-55,-137.084,-140.5469,-8888,47
TEE 1 of BRANCH /P-ME003-001/B5,-54,-55,-141.21,-140.5469,14,48
STRT 5 of BRANCH /P-ME003-001/B5,-53,-54,-150.1453,-141.21,14,48
BEND 3 of BRANCH /P-ME003-001/B5,-52,-53,-150.1453,-150.1453,14,48
STRT 4 of BRANCH /P-ME003-001/B5,-51,-52,-151.4044,-150.1453,14,48
BEND 2 of BRANCH /P-ME003-001/B5,-50,-51,-151.4044,-151.4044,14,48
STRT 3 of BRANCH /P-ME003-001/B5,-49,-50,-159.6768,-151.4044,14,48
DAMPER 1 of BRANCH /P-ME003-001/B5,-48,-49,-183.9823,-159.6768,14,48
STRT 2 of BRANCH /P-ME003-001/B5,-47,-48,-184.8339,-183.9823,14,48
BEND 1 of BRANCH /P-ME003-001/B5,-46,-47,-184.8339,-184.8339,14,48
STRT 1 of BRANCH /P-ME003-001/B5,-45,-46,-185.5273,-184.8339,14,48
DAMPER 1 of BRANCH /P-ME003-901/B1,-28,-45,-210.1945,-185.5273,14,48
STRT 4 of BRANCH /T-ME003-001/B2,-28,-28,-124.9298,-210.1945,-8888,49
STRT 4 of BRANCH /T-ME003-001/B2,-28,-28,-210.1945,-420.5586,-8888,50
STRT 4 of BRANCH /T-ME003-001/B2,-27,-28,-426.5527,-420.5586,1,51
STRT 3 of BRANCH /T-ME003-001/B2,-26,-27,-429.5497,-426.5527,1,51
STRT 2 of BRANCH /T-ME003-001/B2,-25,-26,-433.7456,-429.5497,1,51
STRT 1 of BRANCH /T-ME003-001/B2,-24,-25,-434.6423,-433.7456,1,51
STRT 2 of BRANCH /T-ME003-001/B1,-23,-24,-434.9965,-434.6423,1,51
TAPER 1 of BRANCH /T-ME003-001/B1,-22,-23,-436.4515,-434.9965,1,51
STRT 1 of BRANCH /T-ME003-001/B1,-21,-22,-436.5636,-436.4515,1,51
STRT 1 of BRANCH /T-ME003-050/B1,-20,-21,-437.6777,-436.5636,1,51
STRT 4 of BRANCH /T-ME003-022/B1,-19,-20,-440.5405,-437.6777,1,51
TAPER 1 of BRANCH /T-ME003-022/B1,-18,-19,-449.6058,-440.5405,1,51
FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B2,-375,-376,-1.1223,0,1004,52
TAPER 1 of BRANCH /P-ME003-H23AF/B2,-374,-375,-2.0499,-1.1223,4,52
STRT 2 of BRANCH /P-ME003-H23AF/B2,-373,-374,-3.9444,-2.0499,4,52
DAMPER 1 of BRANCH /P-ME003-H23AF/B2,-372,-373,-11.8217,-3.9444,4,52
STRT 1 of BRANCH /P-ME003-H23AF/B2,-371,-372,-13.1456,-11.8217,4,52
DAMPER 1 of BRANCH /P-ME003-H23AC/B1,-370,-371,-21.2466,-13.1456,4,52
STRT 7 of BRANCH /P-ME003-H23AF/B1,-369,-370,-27.6199,-21.2466,4,52
BEND 5 of BRANCH /P-ME003-H23AF/B1,-368,-369,-27.6199,-27.6199,4,52
STRT 6 of BRANCH /P-ME003-H23AF/B1,-367,-368,-29.507,-27.6199,4,52
BEND 4 of BRANCH /P-ME003-H23AF/B1,-366,-367,-29.507,-29.507,4,52
STRT 5 of BRANCH /P-ME003-H23AF/B1,-365,-366,-29.8948,-29.507,4,52
BEND 3 of BRANCH /P-ME003-H23AF/B1,-364,-365,-29.8948,-29.8948,4,52
STRT 4 of BRANCH /P-ME003-H23AF/B1,-361,-364,-35.3668,-29.8948,4,52
STRT (=469784170/40653),-362,-363,-2.4152,0,1005,53
FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B3,-361,-362,-2.4154,-2.4152,5,53
